Marke,ParentSKU,ProductName,Revenue_total,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Cut,MCP_Surface,MCP_Features,MCP_Gender,MCP_resolved
NIKE,NCK4874-100,Nike Premier NO SGT RS Promo TW-Handsch,78.5,Nike Premier NO SGT NC Promo,configurable,NIKE,white,Weiß,,Innennaht (NC),,"Bequem, Grip, Größere Ballkontaktfläche, Ballkontrolle, Leicht",Herren,true
uhlsport,ETS1011146_001,Uhlsport Dyn.Impulse Softflex TW-Handsc,78.25,uhlsport Dyn.Impulse Softflex,configurable,uhlsport,"yellow, orange","Gelb, Orange",,,,"Atmungsaktivität, Bequem, Dämpfung, Grip, Haltbarkeit",,true
HO Soccer,HO510807,HO SOCCER Eskudo  Action NEG,77.7,HO SOCCER Eskudo  Action NEG,configurable,HO SOCCER,"blue, grey","Blau, Grau",,Innennaht (NC),Trocken,,,true
HO Soccer,HO510714,HO Soccer Clone Supremo II N TW-Handsch,77.59,HO Soccer Clone Supremo II N,configurable,HO SOCCER,green,Grün,,Innennaht (NC),Trocken,"Bequem, Dämpfung, Schutz",Herren,true
HO Soccer,HO0520480,HO Soccer SSG Kontrol Knit Tech II Grey,76.14,HO Soccer SSG Kontrol Knit Tech II Grey,configurable,HO SOCCER,grey,Grau,,Innennaht (NC),,,,true
HO Soccer,HO510779,HO SOCCER Premier Supremo Roll-Negative,75.71,HO SOCCER Premier Supremo Roll-Negative,configurable,HO SOCCER,orange,Orange,,Hybrid (Mix),Trocken,,,true
uhlsport,U1075,Uhlsport Soft RF Torwarthandschuh Kids,74.88,Uhlsport Soft RF,configurable,uhlsport,"blue, orange","Blau, Orange",,Rollfinger (GC),Trocken,"Dämpfung, Ballkontrolle, Haltbarkeit",Herren,true
Elite Sport,EL9933580,ELITE Calaca Hybrid,74.55,ELITE Calaca Hybrid,configurable,ELITE SPORT,black,Schwarz,,Hybrid (Mix),Trocken,,,true
uhlsport,U1082-04,Uhlsport Supersoft HN Torwarthandschuh,74.55,Uhlsport Supersoft NC,configurable,uhlsport,white,Weiß,,"Innennaht (NC), Hybrid (Mix)",Trocken,,Herren,true
reusch,R3072815-210,Magno SG Elite Junior,74.13,,,,,,,,,,,true
Puma,ETS041662_005,PUMA FUTURE Grip 5.1 Hybrid Turbo TW-Ha,73.91,PUMA FUTURE Grip 5.1 Hybrid Turbo,configurable,PUMA,pink,Pink,,Innennaht (NC),Trocken,"Bequem, Grip, Individuelle Passform, Leicht","Herren, Damen",true
HO Soccer,HO0515202IT,Ho Soccer Initial Pursuit NG SMU,73.87,Ho Soccer Initial Pursuit NG SMU,configurable,HO SOCCER,grey,Grau,,Innennaht (NC),,,,true
One Glove,NXT-PRO-CONTRA-B-NGT,NXT Pro Contra Black NGT,73.73,NXT Pro Contra Black NGT,configurable,One Glove,black,Schwarz,,Innennaht (NC),Normaler Rasen,Finger Protection,,true
Puma,P041470-03,PUMA ONE Grip 1 RC Torwarthandschuh Bla,72.48,PUMA ONE Grip 1 RC,configurable,PUMA,"blue, silver","Blau, silver",PUMA One,Außennaht (RC),Trocken,"Atmungsaktivität, Bequem, Grip, Schutz",,true
reusch,8FP9041-KEA,reusch Keon aqua,71.23,,,,,,,,,,,true
uhlsport,U0163,Uhlsport Eliminator Absolutgrip Handsch,71.19,Uhlsport Eliminator Absolutgrip,configurable,uhlsport,"red, black","Rot, Schwarz",uhlsport Eliminator,Außennaht (RC),Trocken,,,true
uhlsport,U1021-03,Uhlsport Speed Up Now Supersoft GC,71.19,Uhlsport Speed Up Now Supersoft GC,configurable,uhlsport,"yellow, blue","Gelb, Blau",,Rollfinger (GC),Trocken,,,true
reusch,R5070963-2199,Reusch Attrakt Freegel G3 Fusion LTD F2,70.78,Reusch Attrakt Freegel G3 Fusion LTD,configurable,REUSCH,"yellow, blue","Gelb, Blau",,"Innennaht (NC), Rollfinger (GC)",Trocken,"Bequem, Dämpfung, Individuelle Passform, Ballkontrolle, Haltbarkeit, ESS, OrthoTec",Herren,true
Elite Sport,EL9931340,ELITE Andalucia RC,70.41,ELITE Andalucia RC,configurable,ELITE SPORT,green,Grün,,Außennaht (RC),Trocken,,,true
adidas,ADY2598,adidas Predator Pro Torwarthandschuh FS,69.7,adidas Predator Pro FS,configurable,adidas,"black, turquoise","Schwarz, Türkis",adidas Predator,"Innennaht (NC), Außennaht (RC)",Trocken,"Bequem, Dämpfung, Grip, Schutz, fingersave",Herren,true
adidas,ETSGK3505_000,adidas X Pro Superlativ Torwarthandschu,69.12,adidas X Pro Superlativ,configurable,adidas,"yellow, black","Gelb, Schwarz",,Innennaht (NC),,"Bequem, Dämpfung, Grip, Halt, Schutz, Leicht",Herren,true
adidas,AFN1485,adidas Predator Pro TW-Handschuh Schwar,68.25,adidas Predator Pro,configurable,adidas,black,Schwarz,adidas Predator,Innennaht (NC),Trocken,"Dämpfung, Grip, Größere Ballkontaktfläche, Ballkontrolle, Haltbarkeit, Elastizität","Herren, Damen",true
uhlsport,ETS1011125_01,Uhlsport Radar Control Soft SF Junior,68.0,Uhlsport Radar Control Soft SF Junior,configurable,uhlsport,"yellow, blue","Gelb, Blau",,Außennaht (RC),,"Atmungsaktivität, Dämpfung, Grip, Größere Ballkontaktfläche, Ballkontrolle, Haltbarkeit, Elastizität, Supportframe",Herren,true
Puma,ETS041475_001,PUMA ONE Grip 3 RC Torwarthandschuh Wei,66.26,PUMA ONE Grip 3 RC,configurable,PUMA,"white, orange","Weiß, Orange",,,,"Atmungsaktivität, Dämpfung, Grip, Schutz",,true
reusch,R3870059-999,Reusch Prisma Pro G3 Fusion LTD TW-Hand,66.14,Reusch Prisma Pro G3 Fusion LTD,configurable,REUSCH,"black, blue","Schwarz, Blau",Reusch Prisma,"Innennaht (NC), Hybrid (Mix)",Trocken,"3D Thumb Crotch, ESS, Rolled Thumb, AirVentSystem, Keep Control Pro, Pro Flex",Herren,true
adidas,ABS1533,adidas Classic Fingersave,65.57,adidas Classic FS,configurable,adidas,"yellow, black","Gelb, Schwarz",,Außennaht (RC),Trocken,,"Herren, Damen",true
reusch,P000008-KEODUO,reusch Keon duo mega grip (Castellazzi S,65.53,,,,,,,,,,,true
Sells Goalkeeper,SGP151609,Sells Wrap Elite Campione,65.53,Sells Wrap Elite Campione,configurable,SELLS,"white, orange","Weiß, Orange",Sells Wrap,Rollfinger (GC),Nässe / Regen,,,true
reusch,P000009-REC,reusch re:ceptor green (Andujar SMU),65.5,,,,,,,,,,,true
NIKE,ETSGS3884_100,Nike Vapor Grip 3 Torwarthandschuh Weis,65.18,,,,,,,,,,,true
uhlsport,ETS1000161_01,Uhlsport Eliminator Absolutgrip HN Schw,65.08,uhlsport Eliminator Absolutgrip NC,configurable,uhlsport,"black, blue","Schwarz, Blau",,Innennaht (NC),,,Herren,true
HO Soccer,HO510676,HO SOCCER SSG Supremo Kontakt Evolution,65.04,HO SOCCER SSG Supremo Kontakt Evolution,configurable,HO SOCCER,,,,Hybrid (Mix),Trocken,,,true
Elite Sport,EL993170,Elite Black Panther NC,64.71,Elite Black Panther NC,configurable,ELITE SPORT,"yellow, black","Gelb, Schwarz",,Innennaht (NC),Trocken,,,true
reusch,R5070938-7083,Reusch G3 Fusion Finger Support TW-Hand,64.51,Reusch G3 Fusion Finger Support,configurable,REUSCH,"black, orange","Schwarz, Orange",,"Außennaht (RC), Hybrid (Mix)",Trocken,"ESS, AirVentSystem, Finger Support",Herren,true
rehab,RH1000-107,rehab Extreme CG3 NC (red/black),63.69,rehab Extreme CG3 NC (red/black),configurable,rehab goalkeeping,"red, black","Rot, Schwarz",rehab Extreme,Innennaht (NC),Trocken,,,true
uhlsport,U0171-02,Uhlsport Eliminator Soft Support #177,63.68,,,,,,,,,,,true
uhlsport,ETS1000129_01,Uhlsport Eliminator Supersoft Bionik Ha,63.08,Uhlsport Eliminator Supersoft Bionik,configurable,uhlsport,"red, black","Rot, Schwarz",,Außennaht (RC),,,Herren,true
adidas,ETSFS0398_000,adidas Predator Precision to Blur Match,63.04,adidas Predator Match FS Kids,configurable,adidas,green,Grün,adidas Predator,"Innennaht (NC), Außennaht (RC)",Trocken,"Atmungsaktivität, Bequem, Grip, Haltbarkeit, Schutz, fingersave",,true
reusch,R3870958-236,Reusch Prisma Pro G3 Evo OT TW-Handschu,63.03,Reusch Prisma Pro G3 Evo OT,configurable,REUSCH,"yellow, black","Gelb, Schwarz",Reusch Prisma,Außennaht (RC),Trocken,,Herren,true
JAKO,ETS2536_01,JAKO Champ Giga WRC Protection TW-Hands,62.45,JAKO Champ Giga WRC Protection,configurable,Jako,red,Rot,,Außennaht (RC),,"Atmungsaktivität, Dämpfung, Grip, Ballkontrolle, Haltbarkeit, Elastizität",Herren,true
reusch,ETS3670200_767,Reusch Re:pulse Prime S1 FS Torwarthand,61.48,Reusch Re:pulse Prime S1 FS,configurable,REUSCH,"black, orange","Schwarz, Orange",,,,,Herren,true
