Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
115,adidas,10210239_HB1618_000,adidas Condivo 22 Torwarttrikot Türkis,1001,Torwarttrikots,11ts_direct,10210239,116,5245.87,97,4349.03,18,864.09,0,0.0,1,32.75,0,0.0,0,0.0,1,37.47,69,3039.97,27,1271.59,11,534.31,7,329.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,32.75,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10210237_HB1616_000,adidas Condivo 22 Torwarttrikot langarm,1001,Torwarttrikots,11ts_direct,10210237,120,5207.93,81,3674.91,29,1208.53,4,184.89,6,139.6,0,0.0,4,184.98,18,750.3,35,1621.59,24,1118.04,14,613.11,7,251.08,7,307.21,1,37.13,0,0.0,0,0.0,3,154.48,1,30.41,1,24.88,3,72.26,1,23.89,1,18.57,0,0.0,0,0.0
115,adidas,10209237_H21237_000,adidas Condivo 22 Torwarttrikot langarm,1001,Torwarttrikots,11ts_direct,10209237,121,5158.09,57,2688.19,51,2079.28,10,308.16,3,82.46,0,0.0,4,191.88,10,504.66,34,1574.08,9,417.57,15,711.87,18,720.92,14,504.62,4,141.87,4,138.1,3,95.12,3,74.94,0,0.0,0,0.0,2,57.5,1,24.96,0,0.0,0,0.0,0,0.0
115,adidas,10276013_IN0406_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10276013,130,5073.95,0,0.0,0,0.0,91,3742.85,39,1331.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,341.33,24,1142.98,34,1227.2,26,1031.34,13,522.09,6,200.2,10,284.69,10,324.12,0,0.0,0,0.0
136,uhlsport,10207588_1003667_003,uhlsport Reaction Torwartset Gelb Schwa,1001,Torwarttrikots,11ts_direct,10207588,101,5061.57,28,1543.22,39,2057.73,16,723.71,17,700.79,1,36.12,0,0.0,0,0.0,14,868.08,14,675.14,8,381.79,9,453.19,12,643.33,10,579.42,1,54.38,2,87.4,10,451.44,3,130.49,4,187.95,1,35.34,8,330.0,4,147.5,1,36.12,0,0.0
115,adidas,10210241_HB1621_000,adidas Condivo 22 Torwarttrikot Orange,1001,Torwarttrikots,11ts_direct,10210241,124,4851.43,74,2870.94,42,1699.21,4,143.59,4,137.69,0,0.0,0,0.0,10,348.37,48,1846.21,16,676.36,18,808.44,23,855.27,1,35.5,0,0.0,0,0.0,1,38.44,3,105.15,0,0.0,0,0.0,4,137.69,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10209238_H21238_000,adidas Condivo 22 Torwarttrikot Rot,1001,Torwarttrikots,11ts_direct,10209238,118,4736.14,93,3771.04,24,937.08,0,0.0,1,28.02,0,0.0,0,0.0,11,377.77,60,2461.69,22,931.58,12,523.45,12,413.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,28.02,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS40007-425,KEEPERsport Torwarttrikot Premier langa,1001,Torwarttrikots,dash_pattern,KS40007-425,341,4588.94,128,2184.1,113,1468.41,87,823.8,13,112.63,0,0.0,30,543.94,32,535.28,41,673.77,25,431.11,29,449.6,18,267.42,42,481.98,24,269.41,13,148.98,20,201.53,37,336.53,17,136.76,8,69.49,2,10.14,3,33.0,0,0.0,0,0.0,0,0.0
115,adidas,10275787_IK4906_000,adidas Tiro 24 Pro Torwarttrikot Gelb,1001,Torwarttrikots,11ts_direct,10275787,75,4588.56,0,0.0,0,0.0,50,3237.31,24,1320.08,1,31.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,653.74,14,961.88,20,1184.38,7,437.31,9,607.15,4,204.97,10,469.61,1,38.35,1,31.17,0,0.0
115,adidas,10210243_HB1623_000,adidas Condivo 22 Torwarttrikot Blau,1001,Torwarttrikots,11ts_direct,10210243,108,4577.38,89,3835.61,17,680.97,2,60.8,0,0.0,0,0.0,0,0.0,0,0.0,61,2623.75,28,1211.86,15,624.96,2,56.01,0,0.0,0,0.0,1,29.13,1,31.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
