Marke_Code,Marke,ParentSKU,ProductName,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2,quarters_json
122,KEEPERsport,KS10028-066,KEEPERsport Varan7 Challenge NC TW-Hand,dash_pattern,KS10028-066,1901,35772.16,231,4542.96,1662,31092.44,4,75.36,4,61.4,0,0.0,0,0.0,0,0.0,0,0.0,231,4542.96,621,12258.15,456,9013.41,510,8494.55,75,1326.33,1,21.31,2,37.29,1,16.76,0,0.0,1,9.97,1,19.99,1,14.34,1,17.1,0,0.0,0,0.0,"{""2022-Q4"":{""u"":231,""r"":4542.96},""2023-Q1"":{""u"":621,""r"":12258.15},""2023-Q2"":{""u"":456,""r"":9013.41},""2023-Q3"":{""u"":510,""r"":8494.55},""2023-Q4"":{""u"":75,""r"":1326.33},""2024-Q1"":{""u"":1,""r"":21.31},""2024-Q2"":{""u"":2,""r"":37.29},""2024-Q3"":{""u"":1,""r"":16.76},""2025-Q1"":{""u"":1,""r"":9.97},""2025-Q2"":{""u"":1,""r"":19.99},""2025-Q3"":{""u"":1,""r"":14.34},""2025-Q4"":{""u"":1,""r"":17.1}}"
115,adidas,10210364_HB7942_000,adidas Predator Pro Hybrid Cut Sapphire,11ts_direct,10210364,460,35038.9,459,34969.2,1,69.7,0,0.0,0,0.0,0,0.0,175,14299.27,190,13923.2,94,6746.73,0,0.0,1,69.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""2022-Q1"":{""u"":175,""r"":14299.27},""2022-Q2"":{""u"":190,""r"":13923.2},""2022-Q3"":{""u"":94,""r"":6746.73},""2023-Q1"":{""u"":1,""r"":69.7}}"
122,KEEPERsport,KS10024-066,KEEPERsport Varan7 Champ GC TW-Handschu,dash_pattern,KS10024-066,752,34924.45,319,14889.33,433,20035.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68,3495.26,251,11394.07,148,6765.38,96,4446.7,184,8590.14,5,232.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""2022-Q3"":{""u"":68,""r"":3495.26},""2022-Q4"":{""u"":251,""r"":11394.07},""2023-Q1"":{""u"":148,""r"":6765.38},""2023-Q2"":{""u"":96,""r"":4446.7},""2023-Q3"":{""u"":184,""r"":8590.14},""2023-Q4"":{""u"":5,""r"":232.9}}"
115,adidas,10230500_HC3035_000,adidas Predator Pro Promo NC Game Data,11ts_direct,10230500,477,34779.04,221,17896.59,255,16829.98,0,0.0,1,52.47,0,0.0,0,0.0,0,0.0,96,8461.37,125,9435.22,68,5380.52,160,9848.45,27,1601.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,52.47,0,0.0,0,0.0,0,0.0,"{""2022-Q3"":{""u"":96,""r"":8461.37},""2022-Q4"":{""u"":125,""r"":9435.22},""2023-Q1"":{""u"":68,""r"":5380.52},""2023-Q2"":{""u"":160,""r"":9848.45},""2023-Q3"":{""u"":27,""r"":1601.01},""2025-Q3"":{""u"":1,""r"":52.47}}"
128,Puma,10287235_041923_01,PUMA FUTURE Ultimate NC TW-Handschuhe P,11ts_direct,10287235,454,34695.66,0,0.0,0,0.0,441,33811.25,13,884.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,96,9434.08,172,12263.54,162,11359.5,11,754.13,6,446.07,7,438.34,0,0.0,0,0.0,0,0.0,0,0.0,"{""2024-Q1"":{""u"":96,""r"":9434.08},""2024-Q2"":{""u"":172,""r"":12263.54},""2024-Q3"":{""u"":162,""r"":11359.5},""2024-Q4"":{""u"":11,""r"":754.13},""2025-Q1"":{""u"":6,""r"":446.07},""2025-Q2"":{""u"":7,""r"":438.34}}"
115,adidas,10246697_HN3345_000,adidas Predator Pro Torwarthandschuhe O,11ts_direct,10246697,473,34227.32,0,0.0,428,31080.73,40,2907.11,5,239.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,92,8266.95,61,4992.91,160,10537.97,115,7282.9,17,1283.2,13,936.53,8,576.88,2,110.5,2,103.47,3,136.01,0,0.0,0,0.0,0,0.0,0,0.0,"{""2023-Q1"":{""u"":92,""r"":8266.95},""2023-Q2"":{""u"":61,""r"":4992.91},""2023-Q3"":{""u"":160,""r"":10537.97},""2023-Q4"":{""u"":115,""r"":7282.9},""2024-Q1"":{""u"":17,""r"":1283.2},""2024-Q2"":{""u"":13,""r"":936.53},""2024-Q3"":{""u"":8,""r"":576.88},""2024-Q4"":{""u"":2,""r"":110.5},""2025-Q1"":{""u"":2,""r"":103.47},""2025-Q2"":{""u"":3,""r"":136.01}}"
115,adidas,10300443_IX3828_000,adidas Copa Pro Torwarthandschuhe Darks,11ts_direct,10300443,522,34054.12,0,0.0,0,0.0,381,25713.8,139,8207.64,2,132.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,249.28,174,12533.24,204,12931.28,96,5715.31,41,2361.59,1,51.31,1,79.43,2,132.68,0,0.0,"{""2024-Q2"":{""u"":3,""r"":249.28},""2024-Q3"":{""u"":174,""r"":12533.24},""2024-Q4"":{""u"":204,""r"":12931.28},""2025-Q1"":{""u"":96,""r"":5715.31},""2025-Q2"":{""u"":41,""r"":2361.59},""2025-Q3"":{""u"":1,""r"":51.31},""2025-Q4"":{""u"":1,""r"":79.43},""2026-Q1"":{""u"":2,""r"":132.68}}"
136,uhlsport,10236840_1011260_001,Uhlsport Supergrip+ Finger Surround Spe,11ts_direct,10236840,438,33952.45,51,5400.79,327,24610.72,60,3940.94,0,0.0,0,0.0,0,0.0,0,0.0,28,3095.29,23,2305.5,26,2530.26,35,2958.21,216,15586.24,50,3536.01,58,3805.71,2,135.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""2022-Q3"":{""u"":28,""r"":3095.29},""2022-Q4"":{""u"":23,""r"":2305.5},""2023-Q1"":{""u"":26,""r"":2530.26},""2023-Q2"":{""u"":35,""r"":2958.21},""2023-Q3"":{""u"":216,""r"":15586.24},""2023-Q4"":{""u"":50,""r"":3536.01},""2024-Q1"":{""u"":58,""r"":3805.71},""2024-Q2"":{""u"":2,""r"":135.23}}"
122,KEEPERsport,KS10072-210,KEEPERsport Varan8 Pro NC Resist,dash_pattern,KS10072-210,827,33906.97,0,0.0,0,0.0,225,10732.89,432,17309.02,170,5865.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,89,4428.47,136,6304.42,99,4163.85,29,1233.72,131,5400.94,173,6510.51,145,5079.86,25,785.2,"{""2024-Q3"":{""u"":89,""r"":4428.47},""2024-Q4"":{""u"":136,""r"":6304.42},""2025-Q1"":{""u"":99,""r"":4163.85},""2025-Q2"":{""u"":29,""r"":1233.72},""2025-Q3"":{""u"":131,""r"":5400.94},""2025-Q4"":{""u"":173,""r"":6510.51},""2026-Q1"":{""u"":145,""r"":5079.86},""2026-Q2"":{""u"":25,""r"":785.2}}"
130,reusch,10274997_5470990_7707,Reusch Attrakt Freegel Fusion Ortho-Tec,11ts_direct,10274997,271,33865.84,0,0.0,8,1108.46,113,14898.0,149,17720.08,1,139.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1108.46,37,4995.16,20,2721.78,26,3548.85,30,3632.21,50,5969.26,37,4229.23,38,4701.15,24,2820.44,1,139.3,0,0.0,"{""2023-Q4"":{""u"":8,""r"":1108.46},""2024-Q1"":{""u"":37,""r"":4995.16},""2024-Q2"":{""u"":20,""r"":2721.78},""2024-Q3"":{""u"":26,""r"":3548.85},""2024-Q4"":{""u"":30,""r"":3632.21},""2025-Q1"":{""u"":50,""r"":5969.26},""2025-Q2"":{""u"":37,""r"":4229.23},""2025-Q3"":{""u"":38,""r"":4701.15},""2025-Q4"":{""u"":24,""r"":2820.44},""2026-Q1"":{""u"":1,""r"":139.3}}"
