Marke_Code,Marke,ParentSKU,ProductName,Basisfarbe,Highlight_1,Highlight_2,Farbbezeichnung_Hersteller,Collection,Cut,Material,Technologien,Color_confidence,Resolution_source,Resolution_detail,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
136,uhlsport,10192606_1011235_001,Uhlsport Hyperact Absolutgrip HN TW-Han,blue,white,yellow,night blau/weiß/fluo gelb,1011235,Innennaht,"64% Elastodien, 25% Polyester, 7% Nylon",Bequem;Grip;Halt;Leicht,high,11ts_iteminfo,10192606,961,41505.52,948,40990.69,2,98.88,4,164.26,7,251.69,0,0.0,147,7571.14,182,8795.02,572,22846.36,47,1778.17,2,98.88,0,0.0,0,0.0,0,0.0,4,164.26,0,0.0,0,0.0,0,0.0,1,37.81,6,213.88,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10230498_HC0622_000,adidas Predator Pro Hybrid Promo Game D,red,green,green,solred/tmsogr/tmsogr,Z7816,Hybrid,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Haltbarkeit;Leicht;Schweißableitend,high,11ts_iteminfo,10230498,547,40494.53,513,38090.88,34,2403.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,168,15625.63,345,22465.25,27,1957.67,5,288.64,0,0.0,2,157.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10300488_IX3865_000,adidas Predator Pro Hype Vivid Horizon,black,,,turbo/aurbla/turbo,JTJ61,Hybrid,,Ballkontrolle;Bequem;Dämpfung;Grip;Schutz;Ballkontrolle;Atmungsaktivität;Bequem;Haltbarkeit,high,11ts_iteminfo,10300488,488,40207.18,0,0.0,0,0.0,455,37941.26,34,2352.65,-1,-86.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,65,6156.53,390,31784.73,33,2293.84,1,58.81,0,0.0,0,0.0,-1,-86.73,0,0.0
115,adidas,10347759_JZ5787_JZ5787,adidas Predator GL Pro Torwarthandschuh,white,,,white/black/aurplu,KRS25,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Bequem;Dämpfung;Grip;Schutz,high,11ts_iteminfo,10347759,590,40183.0,0,0.0,0,0.0,0,0.0,484,33556.62,106,6626.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,1309.03,388,26857.56,83,5390.03,105,6572.21,1,54.17
115,adidas,10261826_IA0840_000,adidas Predator Pro Torwarthandschuhe W,white,yellow,black,white/luclem/black,SV373,,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Elastizität;Grip;Leicht;Schutz,high,11ts_iteminfo,10261826,429,39692.08,0,0.0,417,38752.84,12,939.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,308,29417.9,109,9334.94,8,629.78,3,234.87,1,74.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10261838_IA0858_000,adidas Predator Pro Hybrid TW-Handschuh,blue,white,,broyal/bliblu/white,V6278,Hybrid,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Elastizität;Halt;Leicht;Schutz,high,11ts_iteminfo,10261838,562,39607.25,0,0.0,188,15852.02,372,23666.48,2,88.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,188,15852.02,279,18270.01,83,4814.01,10,582.46,0,0.0,1,22.68,0,0.0,1,66.07,0,0.0,0,0.0,0,0.0
136,uhlsport,10236850_1011264_001,Uhlsport Absolutgrip HN Speed Contact T,black,white,orange,schwarz/weiß/fluo orange,1011264,,"59% Elastodien, 29% Polyester, 7% Nylon",Dämpfung;Grip;Leicht;Schweißableitend,high,11ts_iteminfo,10236850,788,39384.4,246,14667.54,422,19741.9,112,4645.59,8,329.37,0,0.0,0,0.0,0,0.0,133,8554.04,113,6113.5,84,4738.72,220,9776.41,83,3735.41,35,1491.36,102,4221.19,7,288.45,2,84.38,1,51.57,1,41.62,5,197.6,1,40.57,1,49.58,0,0.0,0,0.0
115,adidas,10276761_IQ4021_000,adidas Predator Pro Hybrid TW-Handschuh,yellow,black,red,syello/black/solred,KMR38,Hybrid,"89% Polyester, 10% Elastodien, 1% Polyamid",Ballkontrolle;Bequem;Dämpfung;Grip;Halt;Haltbarkeit;Schutz,high,11ts_iteminfo,10276761,528,38833.09,0,0.0,0,0.0,526,38700.37,2,132.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,894.53,218,17251.75,263,18386.89,36,2167.2,2,132.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10031-630,KEEPERsport 25years Varan8 Hero Power T,white,black,,weiß/schwarz,Hero,Hybrid (Mix),,,high,stammdaten,FC=630,637,38724.15,0,0.0,0,0.0,0,0.0,562,34080.14,75,4644.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,108,5865.88,232,15396.05,222,12818.21,69,4313.47,6,330.54
115,adidas,10328194_JH3815_JH3815,adidas Predator Pro Hybrid Celestial Vi,white,green,,white/luclem/lucpnk,KWA51,Hybrid,"89% Polyester, 10% Elastodien, 1% Polyamid",Bequem;Grip;Halt;Schutz,high,11ts_iteminfo,10328194,497,37915.57,0,0.0,0,0.0,0,0.0,495,37761.1,2,154.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,1455.25,316,24572.26,159,11432.58,4,301.01,2,154.47,0,0.0
122,KEEPERsport,KS10024-471,KEEPERsport Varan7 Champ GC TW-Handschu,black,turquoise,,,KEEPERsport Varan,Rollfinger (GC),,,high,ks_katalog,FC=471,919,37887.94,0,0.0,422,19367.22,494,18417.01,3,103.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,1425.75,190,9161.1,197,8780.37,119,4990.83,213,7807.22,156,5439.38,6,179.58,2,66.21,0,0.0,1,37.5,0,0.0,0,0.0,0,0.0
136,uhlsport,10267325_1011314_001,Uhlsport Aquasoft HN,blue,green,white,pacific blau/fluo grün/we,1011314,Innennaht,100% Polyester,Atmungsaktivität;Bequem;Dämpfung;Grip;Halt;Haltbarkeit;Leicht;Schutz,high,11ts_iteminfo,10267325,907,37849.19,0,0.0,12,906.2,107,5888.34,651,26112.27,137,4942.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,906.2,11,765.12,5,349.87,55,2930.04,36,1843.31,176,7676.24,59,2527.4,178,7458.77,238,8449.86,128,4600.82,9,341.56
115,adidas,10349968_JJ3532_000,adidas Predator Pro Torwarthandschuhe R,green,white,,luclem/white/black,KRS25,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Bequem;Dämpfung;Grip;Schutz,high,11ts_iteminfo,10349968,554,37702.21,0,0.0,0,0.0,0,0.0,322,22862.75,232,14839.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,80,6094.67,242,16768.08,223,14261.78,9,577.68
136,uhlsport,10196026_1011216_001,Uhlsport Comfort Absolutgrip TW-Handsch,black,,,schwarz,1011216,Schmal,"60% Elastodien, 30% Polyester, 5% Polyurethan (thermoplastisch)",Ballkontrolle;Bequem;Grip;Leicht,high,11ts_iteminfo,10196026,845,37159.2,245,12142.76,322,14602.61,271,10157.79,7,256.04,0,0.0,40,2054.84,29,1414.65,106,5242.13,70,3431.14,34,1764.98,32,1639.02,61,3027.87,195,8170.74,139,5734.62,104,3394.76,25,913.11,3,115.3,3,120.36,0,0.0,1,40.12,3,95.56,0,0.0,0,0.0
122,KEEPERsport,KS10023-471,KEEPERsport Varan7 Champ Power TW-Hands,black,turquoise,,,KEEPERsport Varan,Hybrid (Mix),,,high,ks_katalog,FC=471,1065,36476.47,0,0.0,442,13897.05,532,19119.08,86,3273.63,5,186.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,158,5080.1,168,5053.56,116,3763.39,96,4058.14,181,6422.58,210,7231.27,45,1407.09,21,785.71,9,359.73,51,1939.24,5,188.95,5,186.71,0,0.0
136,uhlsport,10292792_1011331_001,uhlsport Prediction Flex HN TW-Handschu,blue,yellow,white,blue,1011331,,"81% Elastodien, 9% Polyester, 6% Nylon",Atmungsaktivität;Bequem;Dämpfung;Haltbarkeit,high,11ts_iteminfo,10292792,575,36193.88,0,0.0,0,0.0,57,5001.92,407,24777.18,111,6414.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,104.39,40,3582.36,16,1315.17,18,1575.32,18,1247.75,51,3191.51,320,18762.6,97,5615.04,14,799.74
115,adidas,10228600_HC0619_000,adidas Predator Competition NC Game Dat,orange,green,green,solred/tmsogr/tmsogr,TG266,Innennaht,"80% Polyester, 19% Polyurethan (thermoplastisch), 1% Elastodien",Ballkontrolle;Dämpfung;Grip;Haltbarkeit,high,11ts_iteminfo,10228600,678,36158.23,308,18790.71,363,17076.96,6,255.8,1,34.76,0,0.0,0,0.0,0,0.0,165,10681.03,143,8109.68,214,10320.68,128,5783.14,11,514.66,10,458.48,6,255.8,0,0.0,0,0.0,0,0.0,0,0.0,1,34.76,0,0.0,0,0.0,0,0.0,0,0.0
