ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
U1011337-01,uhlsport,yellow,,,1636.99,no_color_in_text
E7221807,erima,black,,,1622.58,no_color_in_text
R5670163-7090,reusch,black,,,1620.94,no_color_in_text
SGP151634,Sells Goalkeeper,black,,,1619.6,no_color_in_text
U1118,uhlsport,yellow,,,1618.55,no_color_in_text
EL4003520,Elite Sport,white,,,1615.52,no_color_in_text
ETS5170820_4010,reusch,white,,,1602.38,no_description
10378518_5660945_7730,reusch,black,,,1581.66,no_color_in_text
KS10025,KEEPERsport,,,,1579.96,no_description
NCV0595-100,NIKE,black,white,white,1575.78,found
NCK4757-644,NIKE,red,red,red,1573.07,found
OG1-MONSTER-NGT,One Glove,white,,,1571.47,no_color_in_text
U1011286_001,uhlsport,black,,,1570.98,no_color_in_text
10268072_RPB70062303_000,gloveglu,white,,,1566.11,no_color_in_text
EL4004090,Elite Sport,black,,,1550.35,no_color_in_text
HO0515117IT,HO Soccer,yellow,,,1540.31,no_description
P041628-05,Puma,yellow,,,1529.82,no_color_in_text
10220115_5270950_6006,reusch,yellow,,,1515.12,no_description
R5672725-4127,reusch,blue,,,1512.63,no_color_in_text
NGS3381-100,NIKE,black,white,white,1510.81,found
10383962_JY6308,adidas,blue,,,1506.18,no_color_in_text
EL4002740,Elite Sport,black,,,1499.93,no_color_in_text
10323239_5562264_7052,reusch,black,,,1497.0,no_color_in_text
P041651-04,Puma,yellow,,,1493.7,no_color_in_text
RH1006-090,rehab,red,black,black/red/white,1488.15,found
R5270825-6006,reusch,blue,,,1472.09,no_description
KSP041742-01,Puma,black,black,black,1466.46,found
U1013-03,uhlsport,yellow,,,1438.79,no_color_in_text
R3770955-484,reusch,yellow,,,1432.6,no_color_in_text
HO520312,HO Soccer,black,,,1428.05,no_color_in_text
U1072,uhlsport,white,,,1427.12,no_color_in_text
R5160955_4010,reusch,,,,1420.27,no_description
HO520159,HO Soccer,white,,,1410.34,no_description
HO510901,HO Soccer,black,black,black,1409.44,found
HO0515115IT,HO Soccer,yellow,,,1408.26,no_description
HO511280IT1,HO Soccer,black,,,1407.01,no_description
TFA2I0Z07720,Erreà,yellow,,,1402.19,no_description
NXT-PRO-CONTRA-W-HYL,One Glove,white,,,1393.31,no_color_in_text
NCK4757-430,NIKE,blue,white,white,1390.41,found
E7221811,erima,blue,,,1386.68,no_color_in_text
P041627-01,Puma,red,,,1386.43,no_color_in_text
R3770990-484,reusch,yellow,,,1382.71,no_color_in_text
10354424_EL4004140_000,Elite Sport,white,,,1380.85,no_color_in_text
AFH7295,adidas,red,,,1377.29,no_color_in_text
R5670439-7126,reusch,black,,,1373.09,no_color_in_text
EL4002470,Elite Sport,white,,,1372.79,no_description
NCK4804-100,NIKE,white,white,white,1371.12,found
NXT-PRO-MONSTER-SL,One Glove,black,,,1367.62,no_color_in_text
HO520042,HO Soccer,black,,,1358.45,no_description
U0567-01,uhlsport,yellow,,,1354.96,no_description
NXT-ADV-DOUBT,One Glove,red,,,1349.57,no_color_in_text
10255531_5370320_3333,reusch,red,,,1318.33,no_description
ETS041702_001,Puma,white,,,1316.16,no_color_in_text
EL4003470,Elite Sport,black,,,1316.14,no_color_in_text
EL2000220,Elite Sport,black,,,1310.76,no_description
SGP181909,Sells Goalkeeper,blue,,,1308.34,no_color_in_text
ETS1011028_01,uhlsport,yellow,,,1306.22,no_description
ETS7221904_951132,erima,black,,,1302.51,no_description
U1118-02,uhlsport,yellow,,,1297.19,no_color_in_text
NGS3381-492,NIKE,blue,,,1289.04,no_color_in_text
EL4002800,Elite Sport,white,,,1287.38,no_description
HO5200376IT,HO Soccer,black,,,1285.17,no_description
10268071_RPB70062302_000,gloveglu,red,,,1284.83,no_color_in_text
NGS3886-492,NIKE,blue,,,1278.18,no_color_in_text
R5070005-4949,reusch,yellow,,,1276.44,no_color_in_text
10322897_HQ0259_850,NIKE,orange,,,1273.77,no_description
R5670960-7701,reusch,black,,,1271.98,no_color_in_text
ETS7221906_000,erima,,,,1269.65,no_description
R5072204-4949,reusch,yellow,,,1266.01,no_color_in_text
NGS3377-100,NIKE,white,,,1263.19,no_color_in_text
HO520091,HO Soccer,white,,,1244.74,no_description
NCK4874-810,NIKE,red,,,1238.54,no_color_in_text
10379390_1011380012026_01,uhlsport,black,,,1238.14,no_color_in_text
R5670039-1080,reusch,white,,,1237.78,no_color_in_text
ETS3670870_783,reusch,black,,,1233.18,no_description
ETS1011171_01,uhlsport,yellow,,,1226.34,no_color_in_text
HO511283IT1,HO Soccer,black,,,1216.56,no_description
EL4002350,Elite Sport,black,,,1214.91,no_color_in_text
RPB70102103,gloveglu,black,,,1214.18,no_description
P041637-01,Puma,black,,,1206.77,no_color_in_text
EL4002860,Elite Sport,white,,,1204.82,no_color_in_text
HO510650,HO Soccer,,,,1202.2,no_color_in_text
ETS1011009_01,uhlsport,,,,1202.07,no_description
U1119,uhlsport,yellow,,,1196.67,no_color_in_text
EL4004330,Elite Sport,black,,,1193.19,no_color_in_text
NCQ6375-100,NIKE,black,,,1193.16,no_color_in_text
EL4004510,Elite Sport,black,,,1192.72,no_color_in_text
HO510914,HO Soccer,black,black,black,1191.15,found
ETSCV0594_440,NIKE,red,,,1174.15,no_color_in_text
KSU1133-01,uhlsport,red,,,1172.14,no_color_in_text
R3270870-701,reusch,,,,1167.93,no_description
E722602,erima,yellow,,,1166.76,no_color_in_text
R5070991-7083,reusch,black,,,1164.84,no_color_in_text
U1139,uhlsport,yellow,,,1160.02,no_color_in_text
ETS041664_004,Puma,black,,,1141.42,no_color_in_text
HO520040,HO Soccer,green,,,1137.84,no_description
NCK4874-492,NIKE,blue,,,1135.07,no_color_in_text
ETS5170958_1100,reusch,white,,,1131.1,no_description
U1052-03,uhlsport,blue,,,1127.55,no_color_in_text
SGP151633,Sells Goalkeeper,white,,,1127.27,no_color_in_text
U1222-02,uhlsport,black,,,1117.92,no_color_in_text
HO511282IT1,HO Soccer,black,,,1114.65,no_description
U1011386-001,uhlsport,blue,,,1113.27,no_color_in_text
NCZ8133-073,NIKE,grey,,,1108.83,no_color_in_text
ETS5170945_4010,reusch,blue,,,1106.82,no_description
NXT-ADVANCE-MONSTER,One Glove,black,,,1081.88,no_color_in_text
EL4003340,Elite Sport,black,,,1080.28,no_color_in_text
HO520038IT,HO Soccer,black,,,1079.52,no_description
10295811_7222402_000,erima,blue,,,1067.74,no_description
10373890_1011430_01,uhlsport,black,,,1064.44,no_color_in_text
NCK4757-492,NIKE,blue,,,1056.93,no_color_in_text
U1082-02,uhlsport,red,,,1054.44,no_color_in_text
U1123,uhlsport,yellow,,,1050.31,no_color_in_text
U1141,uhlsport,yellow,,,1050.12,no_color_in_text
10351158_IF8194_635,NIKE,red,,,1049.73,no_color_in_text
10345986_5599813_1190,reusch,,,,1048.67,no_description
R3970510-583,reusch,yellow,,,1047.96,no_description
HO520095,HO Soccer,yellow,,,1047.64,no_description
E7222004,erima,red,,,1043.76,no_color_in_text
