Marke,ParentSKU,ProductName,Revenue_total,Kategorie_Code,Kategorie,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Gender,MCP_Sleeve_length,MCP_Pants_cut,MCP_Padding,MCP_Fit,MCP_Leg_type,MCP_Neckline,MCP_Feature_textile,MCP_Mesh_inset,MCP_Extra,MCP_resolved
uhlsport,U5638-02,Uhlsport Bionikframe Padded Short black,12442.42,1002,Torwarthosen,Uhlsport Bionikframe Padded Short black,configurable,uhlsport,black,Schwarz,,,,,hip,,,,,,,true
rehab,RH2001-451,rehab GK Pants,12108.89,1002,Torwarthosen,rehab GK Pants,configurable,rehab goalkeeping,black,Schwarz,,Herren,,long,"hip, knee",,,,,,,true
KEEPERsport,KS20003-999,KEEPERsport Training Torwarthose Robust,11960.19,1002,Torwarthosen,KEEPERsport Training GK-Pants Robust Padded,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,long,"with-padding, hip, knee",,tight,,"breathability, comfortable, individual-fit, lightweight, sweat-management, durability, cushioning",,drawstring,true
rehab,RH3002-451,rehab GK Pants 3/4,11695.02,1002,Torwarthosen,rehab GK Pants 3/4,configurable,rehab goalkeeping,black,Schwarz,,Herren,,three-quarter,"hip, knee",,,,,,,true
KEEPERsport,KS30009-991,KEEPERsport GK Pants UnPadded 3/4 Premie,11640.36,1002,Torwarthosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60035K-407,KEEPERsport Challenge Unterziehshirt Ki,11098.19,1004,Torwart Unterziehshirts,KEEPERsport Challenge Undershirt l/s Jun,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport BasicPadded,,long-sleeve,,elbow,tight,,v-neck,"breathability, comfortable, protection, durability, cushioning",,,true
KEEPERsport,KS30010-991,KEEPERsport GK Pants UnPadded 3/4 RegSki,10920.63,1002,Torwarthosen,,,,,,,,,,,,,,,,,false
MC David,MC7741,McDavid Hex Goalkeeper Short,10902.75,1005,Torwart Unterziehhosen,McDavid Hex Goalkeeper Short,configurable,McDavid,black,Schwarz,,,,short,with-padding,,,,,,,true
NIKE,NCJ6066-010,Nike Park IV GK-Shirt l/s,10700.47,1001,Torwarttrikots,Nike Park IV GK-Shirt l/s,configurable,NIKE,"black, white","Schwarz, Weiß",NIKE Park,,long-sleeve,long,,tight,,round-neck,,back,,true
KEEPERsport,KS30005-999,KEEPERsport Training 3/4 Torwarthose RP,10700.42,1002,Torwarthosen,KEEPERsport Training 3/4 GK-Pants RP,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,three-quarter,"with-padding, hip, knee",tight,tight,,"breathability, sweat-management, durability, cushioning",,drawstring,true
KEEPERsport,KS60004-999,KEEPERsport Torwart Unterziehshirt PP C,10626.89,1004,Torwart Unterziehshirts,KEEPERsport Goalkeeper Undershirt PP Cold,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,long-sleeve,,"with-padding, elbow",tight,,stand-up-collar,"breathability, lightweight, durability, cushioning",,,true
KEEPERsport,KS70005-407,KEEPERsport Torwarttrikot Set Challange,10548.88,1009,Torwartset,KEEPERsport Match Set Challenge,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport BasicPadded,,,"short, long",,,,,,,,true
KEEPERsport,KS60063-903,KEEPERsport PP AA ThermoSkin Underwear,10446.07,1005,Torwart Unterziehhosen,KEEPERsport Underpants PowerPadded ThermoSkin,configurable,KEEPERsport,black,Schwarz,"KEEPERsport PowerPadded, KEEPERsport Thermoskin",,,long,hip,compression,tight,,warm,,drawstring,true
KEEPERsport,KS60017-633,KEEPERsport Unterziehshort PP Hero F633,10332.72,1005,Torwart Unterziehhosen,KEEPERsport Undershort PowerPadded Hero,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS60041-907,KEEPERsport BasicPadded Longsleeve Unde,10325.26,1004,Torwart Unterziehshirts,KEEPERsport Undershirt BasicPadded,configurable,KEEPERsport,"black, green","Schwarz, Grün",KEEPERsport BasicPadded,,,long,elbow,,,,,,,true
KEEPERsport,KS70002-116,KEEPERsport Torwarttrikot Set Premier R,10270.93,1009,Torwartset,KS70002-116,configurable,KEEPERsport,"red, black","Rot, Schwarz",,,,"short, three-quarter","hip, knee",,,,,,,true
adidas,AFT1455,adidas Tierro Torwarthose Schwarz,9938.64,1002,Torwarthosen,adidas Tierro GK-Pants,configurable,adidas,black,Schwarz,Adidas Tierro,Herren,,long,"with-padding, hip, knee",,tight,,"breathability, comfortable, lightweight, elasticity, durability, cushioning",,drawstring,true
MC David,MC7749R,Mc David HEX GK 3/4 Pant Guard 2.0,9926.6,1005,Torwart Unterziehhosen,Mc David HEX GK 3/4 Pant Guard 2.0,configurable,McDavid,"black, grey","Schwarz, Grau",,,,three-quarter,"hip, knee",,,,,,,true
KEEPERsport,KS70001-116,KEEPERsport Torwarttrikot Set LS Rot F1,9880.81,1009,Torwartset,KEEPERsport GK-Shirt Set LS,configurable,KEEPERsport,"red, black","Rot, Schwarz",,Herren,long-sleeve,"long, three-quarter","elbow, hip, knee",thin,,round-neck,"breathability, lightweight, sweat-management",,drawstring,true
KEEPERsport,KS60024-406,KEEPERsport Unterziehshirt Unpadded LS,9803.8,1004,Torwart Unterziehshirts,KEEPERsport Undershirt UnPadded l/s,configurable,KEEPERsport,blue,Blau,KEEPERsport UnPadded,Herren,long-sleeve,long,,tight,,round-neck,"breathability, comfortable, lightweight, sweat-management, durability, cooling",laterally,,true
MC David,MC7748R,Mc David HEX GK Short Guard 2.0,9137.7,1005,Torwart Unterziehhosen,Mc David HEX GK Short Guard 2.0,configurable,McDavid,"black, grey","Schwarz, Grau",,,,short,hip,,,,,,,true
