Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
128,Puma,P703455-07,PUMA FINAL evoKNIT Torwartshort Gelb Sc,1002,Torwarthosen,legacy,,7,159.75,5,120.63,2,39.12,0,0.0,0,0.0,0,0.0,2,35.94,1,48.85,2,35.84,0,0.0,0,0.0,1,17.17,1,21.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10246605_HK7685_000,adidas Tiro 23 Pro GK-Shorts kids,1002,Torwarthosen,11ts_direct,10246605,9,158.88,0,0.0,0,0.0,4,80.58,4,68.3,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,39.68,2,40.9,2,37.53,1,18.02,0,0.0,1,12.75,1,10.0,0,0.0
122,KEEPERsport,KS230-048,KEEPERsport GK Short GuKra4 (grey),1002,Torwarthosen,dash_pattern,KS230-048,21,149.77,4,17.64,3,28.44,5,42.71,8,56.88,1,4.1,1,4.2,0,0.0,2,9.38,1,4.06,0,0.0,2,19.7,1,8.74,0,0.0,0,0.0,0,0.0,3,25.16,2,17.55,0,0.0,3,23.76,4,24.96,1,8.16,0,0.0,1,4.1
115,adidas,ETSAJ5880_000,adidas Parma 16 Short,1002,Torwarthosen,legacy,,14,149.47,0,0.0,2,33.28,0,0.0,7,98.98,5,17.21,0,0.0,0,0.0,0,0.0,0,0.0,1,16.64,1,16.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,56.56,3,42.42,0,0.0,5,17.21,0,0.0
125,NIKE,N725901-657,Nike Laser III Short,1002,Torwarthosen,legacy,,17,148.97,5,35.0,4,39.73,6,57.83,2,16.41,0,0.0,2,13.83,1,6.75,1,7.21,1,7.21,1,7.39,0,0.0,2,13.36,1,18.98,0,0.0,2,15.88,2,22.04,2,19.91,0,0.0,1,7.63,0,0.0,1,8.78,0,0.0,0,0.0
125,NIKE,N869628-043,Nike Promo GK-Short (grey),1002,Torwarthosen,legacy,,4,146.39,2,60.19,1,36.74,1,49.46,0,0.0,0,0.0,1,26.82,1,33.37,0,0.0,0,0.0,0,0.0,1,36.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,49.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS230-001,KEEPERsport GK Short GuKra4 (white),1002,Torwarthosen,dash_pattern,KS230-001,20,138.78,14,96.53,1,4.55,2,16.32,3,21.38,0,0.0,4,34.54,6,35.77,3,21.95,1,4.27,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,2,16.32,0,0.0,0,0.0,1,6.36,1,5.45,1,9.57,0,0.0,0,0.0
115,adidas,10246602_HK7680_000,adidas Tiro 23 Pro GK-Shorts kids,1002,Torwarthosen,11ts_direct,10246602,7,136.56,0,0.0,1,26.42,1,39.68,4,59.63,1,10.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,26.42,0,0.0,0,0.0,1,39.68,0,0.0,0,0.0,0,0.0,2,32.4,1,16.62,1,10.61,1,10.83,0,0.0
115,adidas,ETSGG3767,adidas Condivo 21 Torwartshort Kids Gel,1002,Torwarthosen,legacy,,12,136.47,0,0.0,1,17.63,9,99.32,2,19.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,17.63,0,0.0,0,0.0,0,0.0,8,90.86,1,8.46,2,19.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,NIKE,NAQ5326-739,NIKE Promo GK-Short (yellow),1002,Torwarthosen,legacy,,4,134.15,1,28.69,0,0.0,2,62.88,0,0.0,1,42.58,0,0.0,0,0.0,0,0.0,1,28.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.99,1,36.89,0,0.0,0,0.0,0,0.0,0,0.0,1,42.58,0,0.0
