Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber,Produktgruppe,Produktart,Serie,Aermellaenge,Textillaenge,Passform,Ausschnitt,Material_1,Material_1_pct,Material_2,Material_2_pct,Mesh_Einsaetze,Extras,Technologien
adidas,10276059_IN0449_000,adidas Tiro 24 Pro Torwartshort Rot,1002,Torwarthosen,10276059,adidas,IN0449,Adi_T_US,IFC28,222211,2024-02-13,103071,67,rot,,,red,true,IN0449,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,
adidas,10276061_IN0452_000,adidas Tiro 24 Pro Torwartshort Blau,1002,Torwarthosen,10276061,adidas,IN0452,Adi_T_US,IFC28,222211,2024-01-29,103071,67,blau,,,seblbu,true,IN0452,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,
adidas,10277274_IR9942_000,adidas Tiro 24 Pro Tight Torwarthose Da,1002,Torwarthosen,10277274,adidas,IR9942,Adi_T_WNS,JST21,222211,2024-02-27,103071,66,schwarz,,,black,true,IR9942,,Torhüter - Hosen,,,Lang,,,Polyester,100,,,,,Atmungsaktivität;Bequem;Schweißableitend
adidas,10277306_IR9964_000,adidas Tiro 24 Pro Torwarttrikot Damen,1001,Torwarttrikots,10277306,adidas,IR9964,Adi_T_WNS,JST24,222211,2024-02-06,103070,65,lila,,,purple,true,IR9964,Trikots,Torhüter - Trikots,Tiro,Kurzarm,,normal,V-Ausschnitt,Polyester,100,,,,,
adidas,10277651_IS5333_000,adidas Tiro 24 Pro GK-Shirt l/s,1001,Torwarttrikots,10277651,adidas,IS5333,Adi_T_US,IKM07,222211,2024-05-15,103070,65,pink,,,terema,true,IS5333,Torhüter,Torhüter - Trikots,Tiro,Langarm,,schmal,Rundhals,Polyester,100,,,allgemein,,
adidas,10277653_IS5338_000,adidas Tiro 24 Pro Torwartshort Pink,1002,Torwarthosen,10277653,adidas,IS5338,Adi_T_US,IFC28,222211,2024-01-29,103071,67,pink,,,terema,true,IS5338,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,
adidas,10277655_IS5339_000,adidas Tiro 24 Pro Torwarttrikot Pink,1001,Torwarttrikots,10277655,adidas,IS5339,Adi_T_US,IKM06,222211,2024-02-06,103070,65,pink,,,terema,true,IS5339,Torhüter,Torhüter - Trikots,Tiro,Kurzarm,Normal,schmal,Rundhals,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schweißableitend
adidas,10277659_IS5346_000,adidas Tiro 24 Pro Torwartshort Grün,1002,Torwarthosen,10277659,adidas,IS5346,Adi_T_US,IFC28,222211,2024-02-13,103071,67,gruen,,,teagrn,true,IS5346,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,
adidas,10277661_IS5349_000,adidas Tiro 24 Pro Torwarttrikot Grün,1001,Torwarttrikots,10277661,adidas,IS5349,Adi_T_US,IKM06,222211,2024-03-18,103070,65,gruen,,,teagrn,true,IS5349,Torhüter,Torhüter - Trikots,Tiro,Kurzarm,,schmal,Rundhals,Polyester,100,,,allgemein,,
adidas,10277663_IS5350_000,adidas Tiro 24 Pro Torwarttrikot langar,1001,Torwarttrikots,10277663,adidas,IS5350,Adi_T_US,IKM07,222211,2024-03-18,103070,65,gruen,,,teagrn,true,IS5350,Torhüter,Torhüter - Trikots,Tiro,Langarm,,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schweißableitend
adidas,10277665_IS5356_000,adidas Tiro 24 Pro Tight Torwarthose Gr,1002,Torwarthosen,10277665,adidas,IS5356,Adi_T_US,IKM08,222211,2024-07-16,103071,66,gruen,,,teagrn,true,IS5356,Torhüter,Tights,Tiro,,Lang,kompression,,Polyester,86,Elasthan,14,,Kordelzug,AEROREADY;Atmungsaktivität;Bequem;Haltbarkeit;Schweißableitend
adidas,10277868_IU0291_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,10277868,adidas,IU0291,Adi_T_US,KMC64,222211,2024-01-29,103070,65,gelb,,,sesoye,true,IU0291,Torhüter,Torhüter - Trikots,Tiro,Langarm,,schmal,Rundhals,Polyester,100,,,allgemein,,
adidas,10277870_IU0292_000,adidas Tiro 24 Pro Torwarttrikot Langar,1001,Torwarttrikots,10277870,adidas,IU0292,Adi_T_KID,KMC65,222211,2024-03-20,103070,65,gelb,,,sesoye,true,IU0292,,Torhüter - Trikots,Tiro,Langarm,,normal,Rundhals,Polyester,100,,,seitlich,,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10277871_IU0293_000,adidas Tiro 24 Pro Torwartshort Kids Ge,1002,Torwarthosen,10277871,adidas,IU0293,Adi_T_KID,KMC66,222211,2024-03-20,103071,67,gelb,,,sesoye,true,IU0293,,Torhüter - Hosen,Tiro,,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10277872_IU0294_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,10277872,adidas,IU0294,Adi_T_KID,KMC67,222211,2024-02-05,103070,65,gelb,,,sesoye,true,IU0294,Torhüter,Langarm-Trikots,Tiro,Langarm,Lang,normal,V-Ausschnitt,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schutz;Schweißableitend;Wärmend;AEROREADY
NIKE,10288816_FD7474_644,Nike Gardien V Torwarttrikot langarm Ro,1001,Torwarttrikots,10288816,Nike,FD7474,Nike_T_MEN,FD7474,,2024-05-24,103070,65,rot,rot,weiss,laser crimson/university red/white,true,FD7474-644,Torhüter,Torhüter - Trikots,,Langarm,,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schweißableitend;Dri-FIT
NIKE,10289229_FD7482_354,Nike Gardien V Torwarttrikot Türkis F35,1001,Torwarttrikots,10289229,Nike,FD7482,Nike_T_MEN,FD7482,,2024-04-22,103070,65,tuerkis,tuerkis,schwarz,hyper turq/teal nebula/black,true,FD7482-354,,Torhüter - Trikots,Gardien,Kurzarm,,,Rundhals,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schweißableitend;Dri-FIT
NIKE,10289318_FD7480_644,Nike Gardien V LA Torwarttrikot Kids Ro,1001,Torwarttrikots,10289318,Nike,FD7480,Nike_T_KID,FD7480,222212,2024-08-28,103070,65,rot,rot,weiss,laser crimson/university red/white,true,FD7480-644,Torhüter,Torhüter - Trikots,Gardien,Langarm,Normal,normal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit
